filepaths,labels,processed_filepaths
raw\train\glioma\Tr-gl_0061.jpg,glioma,processed\train\glioma\Tr-gl_0061.jpg
raw\train\glioma\Tr-gl_0062.jpg,glioma,processed\train\glioma\Tr-gl_0062.jpg
raw\train\glioma\Tr-gl_0063.jpg,glioma,processed\train\glioma\Tr-gl_0063.jpg
raw\train\glioma\Tr-gl_0064.jpg,glioma,processed\train\glioma\Tr-gl_0064.jpg
raw\train\glioma\Tr-gl_0065.jpg,glioma,processed\train\glioma\Tr-gl_0065.jpg
raw\train\glioma\Tr-gl_0066.jpg,glioma,processed\train\glioma\Tr-gl_0066.jpg
raw\train\glioma\Tr-gl_0067.jpg,glioma,processed\train\glioma\Tr-gl_0067.jpg
raw\train\glioma\Tr-gl_0068.jpg,glioma,processed\train\glioma\Tr-gl_0068.jpg
raw\train\glioma\Tr-gl_0069.jpg,glioma,processed\train\glioma\Tr-gl_0069.jpg
raw\train\glioma\Tr-gl_0070.jpg,glioma,processed\train\glioma\Tr-gl_0070.jpg
raw\train\glioma\Tr-gl_0071.jpg,glioma,processed\train\glioma\Tr-gl_0071.jpg
raw\train\glioma\Tr-gl_0072.jpg,glioma,processed\train\glioma\Tr-gl_0072.jpg
raw\train\glioma\Tr-gl_0073.jpg,glioma,processed\train\glioma\Tr-gl_0073.jpg
raw\train\glioma\Tr-gl_0074.jpg,glioma,processed\train\glioma\Tr-gl_0074.jpg
raw\train\glioma\Tr-gl_0075.jpg,glioma,processed\train\glioma\Tr-gl_0075.jpg
raw\train\glioma\Tr-gl_0076.jpg,glioma,processed\train\glioma\Tr-gl_0076.jpg
raw\train\glioma\Tr-gl_0077.jpg,glioma,processed\train\glioma\Tr-gl_0077.jpg
raw\train\glioma\Tr-gl_0078.jpg,glioma,processed\train\glioma\Tr-gl_0078.jpg
raw\train\glioma\Tr-gl_0079.jpg,glioma,processed\train\glioma\Tr-gl_0079.jpg
raw\train\glioma\Tr-gl_0080.jpg,glioma,processed\train\glioma\Tr-gl_0080.jpg
raw\train\glioma\Tr-gl_0081.jpg,glioma,processed\train\glioma\Tr-gl_0081.jpg
raw\train\glioma\Tr-gl_0082.jpg,glioma,processed\train\glioma\Tr-gl_0082.jpg
raw\train\glioma\Tr-gl_0083.jpg,glioma,processed\train\glioma\Tr-gl_0083.jpg
raw\train\glioma\Tr-gl_0084.jpg,glioma,processed\train\glioma\Tr-gl_0084.jpg
raw\train\glioma\Tr-gl_0085.jpg,glioma,processed\train\glioma\Tr-gl_0085.jpg
raw\train\glioma\Tr-gl_0086.jpg,glioma,processed\train\glioma\Tr-gl_0086.jpg
raw\train\glioma\Tr-gl_0087.jpg,glioma,processed\train\glioma\Tr-gl_0087.jpg
raw\train\glioma\Tr-gl_0088.jpg,glioma,processed\train\glioma\Tr-gl_0088.jpg
raw\train\glioma\Tr-gl_0089.jpg,glioma,processed\train\glioma\Tr-gl_0089.jpg
raw\train\glioma\Tr-gl_0090.jpg,glioma,processed\train\glioma\Tr-gl_0090.jpg
raw\train\glioma\Tr-gl_0091.jpg,glioma,processed\train\glioma\Tr-gl_0091.jpg
raw\train\glioma\Tr-gl_0092.jpg,glioma,processed\train\glioma\Tr-gl_0092.jpg
raw\train\glioma\Tr-gl_0093.jpg,glioma,processed\train\glioma\Tr-gl_0093.jpg
raw\train\glioma\Tr-gl_0094.jpg,glioma,processed\train\glioma\Tr-gl_0094.jpg
raw\train\glioma\Tr-gl_0095.jpg,glioma,processed\train\glioma\Tr-gl_0095.jpg
raw\train\glioma\Tr-gl_0096.jpg,glioma,processed\train\glioma\Tr-gl_0096.jpg
raw\train\glioma\Tr-gl_0097.jpg,glioma,processed\train\glioma\Tr-gl_0097.jpg
raw\train\glioma\Tr-gl_0098.jpg,glioma,processed\train\glioma\Tr-gl_0098.jpg
raw\train\glioma\Tr-gl_0099.jpg,glioma,processed\train\glioma\Tr-gl_0099.jpg
raw\train\glioma\Tr-gl_0100.jpg,glioma,processed\train\glioma\Tr-gl_0100.jpg
raw\train\glioma\Tr-gl_0101.jpg,glioma,processed\train\glioma\Tr-gl_0101.jpg
raw\train\glioma\Tr-gl_0102.jpg,glioma,processed\train\glioma\Tr-gl_0102.jpg
raw\train\glioma\Tr-gl_0103.jpg,glioma,processed\train\glioma\Tr-gl_0103.jpg
raw\train\glioma\Tr-gl_0104.jpg,glioma,processed\train\glioma\Tr-gl_0104.jpg
raw\train\glioma\Tr-gl_0105.jpg,glioma,processed\train\glioma\Tr-gl_0105.jpg
raw\train\glioma\Tr-gl_0106.jpg,glioma,processed\train\glioma\Tr-gl_0106.jpg
raw\train\glioma\Tr-gl_0107.jpg,glioma,processed\train\glioma\Tr-gl_0107.jpg
raw\train\glioma\Tr-gl_0108.jpg,glioma,processed\train\glioma\Tr-gl_0108.jpg
raw\train\glioma\Tr-gl_0109.jpg,glioma,processed\train\glioma\Tr-gl_0109.jpg
raw\train\glioma\Tr-gl_0110.jpg,glioma,processed\train\glioma\Tr-gl_0110.jpg
raw\train\glioma\Tr-gl_0111.jpg,glioma,processed\train\glioma\Tr-gl_0111.jpg
raw\train\glioma\Tr-gl_0112.jpg,glioma,processed\train\glioma\Tr-gl_0112.jpg
raw\train\glioma\Tr-gl_0113.jpg,glioma,processed\train\glioma\Tr-gl_0113.jpg
raw\train\glioma\Tr-gl_0114.jpg,glioma,processed\train\glioma\Tr-gl_0114.jpg
raw\train\glioma\Tr-gl_0115.jpg,glioma,processed\train\glioma\Tr-gl_0115.jpg
raw\train\glioma\Tr-gl_0116.jpg,glioma,processed\train\glioma\Tr-gl_0116.jpg
raw\train\glioma\Tr-gl_0117.jpg,glioma,processed\train\glioma\Tr-gl_0117.jpg
raw\train\glioma\Tr-gl_0118.jpg,glioma,processed\train\glioma\Tr-gl_0118.jpg
raw\train\glioma\Tr-gl_0119.jpg,glioma,processed\train\glioma\Tr-gl_0119.jpg
raw\train\glioma\Tr-gl_0120.jpg,glioma,processed\train\glioma\Tr-gl_0120.jpg
raw\train\glioma\Tr-gl_0121.jpg,glioma,processed\train\glioma\Tr-gl_0121.jpg
raw\train\glioma\Tr-gl_0122.jpg,glioma,processed\train\glioma\Tr-gl_0122.jpg
raw\train\glioma\Tr-gl_0123.jpg,glioma,processed\train\glioma\Tr-gl_0123.jpg
raw\train\glioma\Tr-gl_0124.jpg,glioma,processed\train\glioma\Tr-gl_0124.jpg
raw\train\glioma\Tr-gl_0125.jpg,glioma,processed\train\glioma\Tr-gl_0125.jpg
raw\train\glioma\Tr-gl_0126.jpg,glioma,processed\train\glioma\Tr-gl_0126.jpg
raw\train\glioma\Tr-gl_0127.jpg,glioma,processed\train\glioma\Tr-gl_0127.jpg
raw\train\glioma\Tr-gl_0128.jpg,glioma,processed\train\glioma\Tr-gl_0128.jpg
raw\train\glioma\Tr-gl_0129.jpg,glioma,processed\train\glioma\Tr-gl_0129.jpg
raw\train\glioma\Tr-gl_0130.jpg,glioma,processed\train\glioma\Tr-gl_0130.jpg
raw\train\glioma\Tr-gl_0131.jpg,glioma,processed\train\glioma\Tr-gl_0131.jpg
raw\train\glioma\Tr-gl_0132.jpg,glioma,processed\train\glioma\Tr-gl_0132.jpg
raw\train\glioma\Tr-gl_0133.jpg,glioma,processed\train\glioma\Tr-gl_0133.jpg
raw\train\glioma\Tr-gl_0134.jpg,glioma,processed\train\glioma\Tr-gl_0134.jpg
raw\train\glioma\Tr-gl_0135.jpg,glioma,processed\train\glioma\Tr-gl_0135.jpg
raw\train\glioma\Tr-gl_0136.jpg,glioma,processed\train\glioma\Tr-gl_0136.jpg
raw\train\glioma\Tr-gl_0137.jpg,glioma,processed\train\glioma\Tr-gl_0137.jpg
raw\train\glioma\Tr-gl_0138.jpg,glioma,processed\train\glioma\Tr-gl_0138.jpg
raw\train\glioma\Tr-gl_0139.jpg,glioma,processed\train\glioma\Tr-gl_0139.jpg
raw\train\glioma\Tr-gl_0140.jpg,glioma,processed\train\glioma\Tr-gl_0140.jpg
raw\train\glioma\Tr-gl_0141.jpg,glioma,processed\train\glioma\Tr-gl_0141.jpg
raw\train\glioma\Tr-gl_0142.jpg,glioma,processed\train\glioma\Tr-gl_0142.jpg
raw\train\glioma\Tr-gl_0143.jpg,glioma,processed\train\glioma\Tr-gl_0143.jpg
raw\train\glioma\Tr-gl_0144.jpg,glioma,processed\train\glioma\Tr-gl_0144.jpg
raw\train\glioma\Tr-gl_0145.jpg,glioma,processed\train\glioma\Tr-gl_0145.jpg
raw\train\glioma\Tr-gl_0146.jpg,glioma,processed\train\glioma\Tr-gl_0146.jpg
raw\train\glioma\Tr-gl_0147.jpg,glioma,processed\train\glioma\Tr-gl_0147.jpg
raw\train\glioma\Tr-gl_0148.jpg,glioma,processed\train\glioma\Tr-gl_0148.jpg
raw\train\glioma\Tr-gl_0149.jpg,glioma,processed\train\glioma\Tr-gl_0149.jpg
raw\train\glioma\Tr-gl_0150.jpg,glioma,processed\train\glioma\Tr-gl_0150.jpg
raw\train\glioma\Tr-gl_0151.jpg,glioma,processed\train\glioma\Tr-gl_0151.jpg
raw\train\glioma\Tr-gl_0152.jpg,glioma,processed\train\glioma\Tr-gl_0152.jpg
raw\train\glioma\Tr-gl_0153.jpg,glioma,processed\train\glioma\Tr-gl_0153.jpg
raw\train\glioma\Tr-gl_0154.jpg,glioma,processed\train\glioma\Tr-gl_0154.jpg
raw\train\glioma\Tr-gl_0155.jpg,glioma,processed\train\glioma\Tr-gl_0155.jpg
raw\train\glioma\Tr-gl_0156.jpg,glioma,processed\train\glioma\Tr-gl_0156.jpg
raw\train\glioma\Tr-gl_0157.jpg,glioma,processed\train\glioma\Tr-gl_0157.jpg
raw\train\glioma\Tr-gl_0158.jpg,glioma,processed\train\glioma\Tr-gl_0158.jpg
raw\train\glioma\Tr-gl_0159.jpg,glioma,processed\train\glioma\Tr-gl_0159.jpg
raw\train\glioma\Tr-gl_0160.jpg,glioma,processed\train\glioma\Tr-gl_0160.jpg
raw\train\glioma\Tr-gl_0161.jpg,glioma,processed\train\glioma\Tr-gl_0161.jpg
raw\train\glioma\Tr-gl_0162.jpg,glioma,processed\train\glioma\Tr-gl_0162.jpg
raw\train\glioma\Tr-gl_0163.jpg,glioma,processed\train\glioma\Tr-gl_0163.jpg
raw\train\glioma\Tr-gl_0164.jpg,glioma,processed\train\glioma\Tr-gl_0164.jpg
raw\train\glioma\Tr-gl_0165.jpg,glioma,processed\train\glioma\Tr-gl_0165.jpg
raw\train\glioma\Tr-gl_0166.jpg,glioma,processed\train\glioma\Tr-gl_0166.jpg
raw\train\glioma\Tr-gl_0167.jpg,glioma,processed\train\glioma\Tr-gl_0167.jpg
raw\train\glioma\Tr-gl_0168.jpg,glioma,processed\train\glioma\Tr-gl_0168.jpg
raw\train\glioma\Tr-gl_0169.jpg,glioma,processed\train\glioma\Tr-gl_0169.jpg
raw\train\glioma\Tr-gl_0170.jpg,glioma,processed\train\glioma\Tr-gl_0170.jpg
raw\train\glioma\Tr-gl_0171.jpg,glioma,processed\train\glioma\Tr-gl_0171.jpg
raw\train\glioma\Tr-gl_0172.jpg,glioma,processed\train\glioma\Tr-gl_0172.jpg
raw\train\glioma\Tr-gl_0173.jpg,glioma,processed\train\glioma\Tr-gl_0173.jpg
raw\train\glioma\Tr-gl_0174.jpg,glioma,processed\train\glioma\Tr-gl_0174.jpg
raw\train\glioma\Tr-gl_0175.jpg,glioma,processed\train\glioma\Tr-gl_0175.jpg
raw\train\glioma\Tr-gl_0176.jpg,glioma,processed\train\glioma\Tr-gl_0176.jpg
raw\train\glioma\Tr-gl_0177.jpg,glioma,processed\train\glioma\Tr-gl_0177.jpg
raw\train\glioma\Tr-gl_0178.jpg,glioma,processed\train\glioma\Tr-gl_0178.jpg
raw\train\glioma\Tr-gl_0179.jpg,glioma,processed\train\glioma\Tr-gl_0179.jpg
raw\train\glioma\Tr-gl_0180.jpg,glioma,processed\train\glioma\Tr-gl_0180.jpg
raw\train\glioma\Tr-gl_0181.jpg,glioma,processed\train\glioma\Tr-gl_0181.jpg
raw\train\glioma\Tr-gl_0182.jpg,glioma,processed\train\glioma\Tr-gl_0182.jpg
raw\train\glioma\Tr-gl_0183.jpg,glioma,processed\train\glioma\Tr-gl_0183.jpg
raw\train\glioma\Tr-gl_0184.jpg,glioma,processed\train\glioma\Tr-gl_0184.jpg
raw\train\glioma\Tr-gl_0185.jpg,glioma,processed\train\glioma\Tr-gl_0185.jpg
raw\train\glioma\Tr-gl_0186.jpg,glioma,processed\train\glioma\Tr-gl_0186.jpg
raw\train\glioma\Tr-gl_0187.jpg,glioma,processed\train\glioma\Tr-gl_0187.jpg
raw\train\glioma\Tr-gl_0188.jpg,glioma,processed\train\glioma\Tr-gl_0188.jpg
raw\train\glioma\Tr-gl_0189.jpg,glioma,processed\train\glioma\Tr-gl_0189.jpg
raw\train\glioma\Tr-gl_0190.jpg,glioma,processed\train\glioma\Tr-gl_0190.jpg
raw\train\glioma\Tr-gl_0191.jpg,glioma,processed\train\glioma\Tr-gl_0191.jpg
raw\train\glioma\Tr-gl_0192.jpg,glioma,processed\train\glioma\Tr-gl_0192.jpg
raw\train\glioma\Tr-gl_0193.jpg,glioma,processed\train\glioma\Tr-gl_0193.jpg
raw\train\glioma\Tr-gl_0194.jpg,glioma,processed\train\glioma\Tr-gl_0194.jpg
raw\train\glioma\Tr-gl_0195.jpg,glioma,processed\train\glioma\Tr-gl_0195.jpg
raw\train\glioma\Tr-gl_0196.jpg,glioma,processed\train\glioma\Tr-gl_0196.jpg
raw\train\glioma\Tr-gl_0197.jpg,glioma,processed\train\glioma\Tr-gl_0197.jpg
raw\train\glioma\Tr-gl_0198.jpg,glioma,processed\train\glioma\Tr-gl_0198.jpg
raw\train\glioma\Tr-gl_0199.jpg,glioma,processed\train\glioma\Tr-gl_0199.jpg
raw\train\glioma\Tr-gl_0200.jpg,glioma,processed\train\glioma\Tr-gl_0200.jpg
raw\train\glioma\Tr-gl_0201.jpg,glioma,processed\train\glioma\Tr-gl_0201.jpg
raw\train\glioma\Tr-gl_0202.jpg,glioma,processed\train\glioma\Tr-gl_0202.jpg
raw\train\glioma\Tr-gl_0203.jpg,glioma,processed\train\glioma\Tr-gl_0203.jpg
raw\train\glioma\Tr-gl_0204.jpg,glioma,processed\train\glioma\Tr-gl_0204.jpg
raw\train\glioma\Tr-gl_0205.jpg,glioma,processed\train\glioma\Tr-gl_0205.jpg
raw\train\glioma\Tr-gl_0206.jpg,glioma,processed\train\glioma\Tr-gl_0206.jpg
raw\train\glioma\Tr-gl_0207.jpg,glioma,processed\train\glioma\Tr-gl_0207.jpg
raw\train\glioma\Tr-gl_0208.jpg,glioma,processed\train\glioma\Tr-gl_0208.jpg
raw\train\glioma\Tr-gl_0209.jpg,glioma,processed\train\glioma\Tr-gl_0209.jpg
raw\train\glioma\Tr-gl_0210.jpg,glioma,processed\train\glioma\Tr-gl_0210.jpg
raw\train\glioma\Tr-gl_0211.jpg,glioma,processed\train\glioma\Tr-gl_0211.jpg
raw\train\glioma\Tr-gl_0212.jpg,glioma,processed\train\glioma\Tr-gl_0212.jpg
raw\train\glioma\Tr-gl_0213.jpg,glioma,processed\train\glioma\Tr-gl_0213.jpg
raw\train\glioma\Tr-gl_0214.jpg,glioma,processed\train\glioma\Tr-gl_0214.jpg
raw\train\glioma\Tr-gl_0215.jpg,glioma,processed\train\glioma\Tr-gl_0215.jpg
raw\train\glioma\Tr-gl_0216.jpg,glioma,processed\train\glioma\Tr-gl_0216.jpg
raw\train\glioma\Tr-gl_0217.jpg,glioma,processed\train\glioma\Tr-gl_0217.jpg
raw\train\glioma\Tr-gl_0218.jpg,glioma,processed\train\glioma\Tr-gl_0218.jpg
raw\train\glioma\Tr-gl_0219.jpg,glioma,processed\train\glioma\Tr-gl_0219.jpg
raw\train\glioma\Tr-gl_0220.jpg,glioma,processed\train\glioma\Tr-gl_0220.jpg
raw\train\glioma\Tr-gl_0221.jpg,glioma,processed\train\glioma\Tr-gl_0221.jpg
raw\train\glioma\Tr-gl_0222.jpg,glioma,processed\train\glioma\Tr-gl_0222.jpg
raw\train\glioma\Tr-gl_0223.jpg,glioma,processed\train\glioma\Tr-gl_0223.jpg
raw\train\glioma\Tr-gl_0224.jpg,glioma,processed\train\glioma\Tr-gl_0224.jpg
raw\train\glioma\Tr-gl_0225.jpg,glioma,processed\train\glioma\Tr-gl_0225.jpg
raw\train\glioma\Tr-gl_0226.jpg,glioma,processed\train\glioma\Tr-gl_0226.jpg
raw\train\glioma\Tr-gl_0227.jpg,glioma,processed\train\glioma\Tr-gl_0227.jpg
raw\train\glioma\Tr-gl_0228.jpg,glioma,processed\train\glioma\Tr-gl_0228.jpg
raw\train\glioma\Tr-gl_0229.jpg,glioma,processed\train\glioma\Tr-gl_0229.jpg
raw\train\glioma\Tr-gl_0230.jpg,glioma,processed\train\glioma\Tr-gl_0230.jpg
raw\train\glioma\Tr-gl_0231.jpg,glioma,processed\train\glioma\Tr-gl_0231.jpg
raw\train\glioma\Tr-gl_0232.jpg,glioma,processed\train\glioma\Tr-gl_0232.jpg
raw\train\glioma\Tr-gl_0233.jpg,glioma,processed\train\glioma\Tr-gl_0233.jpg
raw\train\glioma\Tr-gl_0234.jpg,glioma,processed\train\glioma\Tr-gl_0234.jpg
raw\train\glioma\Tr-gl_0235.jpg,glioma,processed\train\glioma\Tr-gl_0235.jpg
raw\train\glioma\Tr-gl_0236.jpg,glioma,processed\train\glioma\Tr-gl_0236.jpg
raw\train\glioma\Tr-gl_0237.jpg,glioma,processed\train\glioma\Tr-gl_0237.jpg
raw\train\glioma\Tr-gl_0238.jpg,glioma,processed\train\glioma\Tr-gl_0238.jpg
raw\train\glioma\Tr-gl_0239.jpg,glioma,processed\train\glioma\Tr-gl_0239.jpg
raw\train\glioma\Tr-gl_0240.jpg,glioma,processed\train\glioma\Tr-gl_0240.jpg
raw\train\glioma\Tr-gl_0241.jpg,glioma,processed\train\glioma\Tr-gl_0241.jpg
raw\train\glioma\Tr-gl_0242.jpg,glioma,processed\train\glioma\Tr-gl_0242.jpg
raw\train\glioma\Tr-gl_0243.jpg,glioma,processed\train\glioma\Tr-gl_0243.jpg
raw\train\glioma\Tr-gl_0244.jpg,glioma,processed\train\glioma\Tr-gl_0244.jpg
raw\train\glioma\Tr-gl_0245.jpg,glioma,processed\train\glioma\Tr-gl_0245.jpg
raw\train\glioma\Tr-gl_0246.jpg,glioma,processed\train\glioma\Tr-gl_0246.jpg
raw\train\glioma\Tr-gl_0247.jpg,glioma,processed\train\glioma\Tr-gl_0247.jpg
raw\train\glioma\Tr-gl_0248.jpg,glioma,processed\train\glioma\Tr-gl_0248.jpg
raw\train\glioma\Tr-gl_0249.jpg,glioma,processed\train\glioma\Tr-gl_0249.jpg
raw\train\glioma\Tr-gl_0250.jpg,glioma,processed\train\glioma\Tr-gl_0250.jpg
raw\train\glioma\Tr-gl_0251.jpg,glioma,processed\train\glioma\Tr-gl_0251.jpg
raw\train\glioma\Tr-gl_0252.jpg,glioma,processed\train\glioma\Tr-gl_0252.jpg
raw\train\glioma\Tr-gl_0253.jpg,glioma,processed\train\glioma\Tr-gl_0253.jpg
raw\train\glioma\Tr-gl_0254.jpg,glioma,processed\train\glioma\Tr-gl_0254.jpg
raw\train\glioma\Tr-gl_0255.jpg,glioma,processed\train\glioma\Tr-gl_0255.jpg
raw\train\glioma\Tr-gl_0256.jpg,glioma,processed\train\glioma\Tr-gl_0256.jpg
raw\train\glioma\Tr-gl_0257.jpg,glioma,processed\train\glioma\Tr-gl_0257.jpg
raw\train\glioma\Tr-gl_0258.jpg,glioma,processed\train\glioma\Tr-gl_0258.jpg
raw\train\glioma\Tr-gl_0259.jpg,glioma,processed\train\glioma\Tr-gl_0259.jpg
raw\train\glioma\Tr-gl_0260.jpg,glioma,processed\train\glioma\Tr-gl_0260.jpg
raw\train\glioma\Tr-gl_0261.jpg,glioma,processed\train\glioma\Tr-gl_0261.jpg
raw\train\glioma\Tr-gl_0262.jpg,glioma,processed\train\glioma\Tr-gl_0262.jpg
raw\train\glioma\Tr-gl_0263.jpg,glioma,processed\train\glioma\Tr-gl_0263.jpg
raw\train\glioma\Tr-gl_0264.jpg,glioma,processed\train\glioma\Tr-gl_0264.jpg
raw\train\glioma\Tr-gl_0265.jpg,glioma,processed\train\glioma\Tr-gl_0265.jpg
raw\train\glioma\Tr-gl_0266.jpg,glioma,processed\train\glioma\Tr-gl_0266.jpg
raw\train\glioma\Tr-gl_0267.jpg,glioma,processed\train\glioma\Tr-gl_0267.jpg
raw\train\glioma\Tr-gl_0268.jpg,glioma,processed\train\glioma\Tr-gl_0268.jpg
raw\train\glioma\Tr-gl_0269.jpg,glioma,processed\train\glioma\Tr-gl_0269.jpg
raw\train\glioma\Tr-gl_0270.jpg,glioma,processed\train\glioma\Tr-gl_0270.jpg
raw\train\glioma\Tr-gl_0271.jpg,glioma,processed\train\glioma\Tr-gl_0271.jpg
raw\train\glioma\Tr-gl_0272.jpg,glioma,processed\train\glioma\Tr-gl_0272.jpg
raw\train\glioma\Tr-gl_0273.jpg,glioma,processed\train\glioma\Tr-gl_0273.jpg
raw\train\glioma\Tr-gl_0274.jpg,glioma,processed\train\glioma\Tr-gl_0274.jpg
raw\train\glioma\Tr-gl_0275.jpg,glioma,processed\train\glioma\Tr-gl_0275.jpg
raw\train\glioma\Tr-gl_0276.jpg,glioma,processed\train\glioma\Tr-gl_0276.jpg
raw\train\glioma\Tr-gl_0277.jpg,glioma,processed\train\glioma\Tr-gl_0277.jpg
